;year;dia;mes;valor
0;2019;1.0;ene;
1;2019;2.0;ene;694.77
2;2019;3.0;ene;697.09
3;2019;4.0;ene;697.64
4;2019;5.0;ene;
5;2019;6.0;ene;
6;2019;7.0;ene;688.42
7;2019;8.0;ene;679.69
8;2019;9.0;ene;680.1
9;2019;10.0;ene;678.09
10;2019;11.0;ene;677.58
11;2019;12.0;ene;
12;2019;13.0;ene;
13;2019;14.0;ene;675.15
14;2019;15.0;ene;674.95
15;2019;16.0;ene;673.76
16;2019;17.0;ene;672.73
17;2019;18.0;ene;671.37
18;2019;19.0;ene;
19;2019;20.0;ene;
20;2019;21.0;ene;670.1
21;2019;22.0;ene;672.42
22;2019;23.0;ene;672.26
23;2019;24.0;ene;672.41
24;2019;25.0;ene;672.14
25;2019;26.0;ene;
26;2019;27.0;ene;
27;2019;28.0;ene;667.04
28;2019;29.0;ene;671.29
29;2019;30.0;ene;669.6
30;2019;31.0;ene;666.76
31;2020;1.0;ene;
32;2020;2.0;ene;748.74
33;2020;3.0;ene;754.16
34;2020;4.0;ene;
35;2020;5.0;ene;
36;2020;6.0;ene;758.49
37;2020;7.0;ene;771.82
38;2020;8.0;ene;773.12
39;2020;9.0;ene;766.83
40;2020;10.0;ene;764.69
41;2020;11.0;ene;
42;2020;12.0;ene;
43;2020;13.0;ene;770.56
44;2020;14.0;ene;777.66
45;2020;15.0;ene;772.29
46;2020;16.0;ene;772.01
47;2020;17.0;ene;773.36
48;2020;18.0;ene;
49;2020;19.0;ene;
50;2020;20.0;ene;771.38
51;2020;21.0;ene;769.93
52;2020;22.0;ene;770.5
53;2020;23.0;ene;772.12
54;2020;24.0;ene;771.94
55;2020;25.0;ene;
56;2020;26.0;ene;
57;2020;27.0;ene;776.52
58;2020;28.0;ene;787.86
59;2020;29.0;ene;788.13
60;2020;30.0;ene;788.18
61;2020;31.0;ene;797.96
62;2019;1.0;feb;657.81
63;2019;2.0;feb;
64;2019;3.0;feb;
65;2019;4.0;feb;655.39
66;2019;5.0;feb;653.8
67;2019;6.0;feb;652.78
68;2019;7.0;feb;653.9
69;2019;8.0;feb;654.44
70;2019;9.0;feb;
71;2019;10.0;feb;
72;2019;11.0;feb;656.46
73;2019;12.0;feb;660.82
74;2019;13.0;feb;660.49
75;2019;14.0;feb;661.6
76;2019;15.0;feb;665.9
77;2019;16.0;feb;
78;2019;17.0;feb;
79;2019;18.0;feb;663.98
80;2019;19.0;feb;660.82
81;2019;20.0;feb;658.75
82;2019;21.0;feb;654.52
83;2019;22.0;feb;654.33
84;2019;23.0;feb;
85;2019;24.0;feb;
86;2019;25.0;feb;651.36
87;2019;26.0;feb;649.22
88;2019;27.0;feb;649.8
89;2019;28.0;feb;649.92
90;2019;29.0;feb;
91;2019;30.0;feb;
92;2019;31.0;feb;
93;2020;1.0;feb;
94;2020;2.0;feb;
95;2020;3.0;feb;799.11
96;2020;4.0;feb;790.92
97;2020;5.0;feb;781.78
98;2020;6.0;feb;776.99
99;2020;7.0;feb;779.12
100;2020;8.0;feb;
101;2020;9.0;feb;
102;2020;10.0;feb;788.8
103;2020;11.0;feb;795.88
104;2020;12.0;feb;792.48
105;2020;13.0;feb;788.33
106;2020;14.0;feb;795.12
107;2020;15.0;feb;
108;2020;16.0;feb;
109;2020;17.0;feb;792.73
110;2020;18.0;feb;791.95
111;2020;19.0;feb;796.9
112;2020;20.0;feb;797.4
113;2020;21.0;feb;804.74
114;2020;22.0;feb;
115;2020;23.0;feb;
116;2020;24.0;feb;809.82
117;2020;25.0;feb;810.2
118;2020;26.0;feb;807.96
119;2020;27.0;feb;811.1
120;2020;28.0;feb;816.26
121;2020;29.0;feb;
122;2020;30.0;feb;
123;2020;31.0;feb;
124;2019;1.0;mar;651.79
125;2019;2.0;mar;
126;2019;3.0;mar;
127;2019;4.0;mar;656.57
128;2019;5.0;mar;659.07
129;2019;6.0;mar;657.49
130;2019;7.0;mar;658.4
131;2019;8.0;mar;662.19
132;2019;9.0;mar;
133;2019;10.0;mar;
134;2019;11.0;mar;670.83
135;2019;12.0;mar;669.37
136;2019;13.0;mar;667.09
137;2019;14.0;mar;665.68
138;2019;15.0;mar;670.62
139;2019;16.0;mar;
140;2019;17.0;mar;
141;2019;18.0;mar;669.39
142;2019;19.0;mar;667.21
143;2019;20.0;mar;664.78
144;2019;21.0;mar;666.13
145;2019;22.0;mar;665.12
146;2019;23.0;mar;
147;2019;24.0;mar;
148;2019;25.0;mar;676.6
149;2019;26.0;mar;679.08
150;2019;27.0;mar;679.02
151;2019;28.0;mar;683.73
152;2019;29.0;mar;681.09
153;2019;30.0;mar;
154;2019;31.0;mar;
155;2020;1.0;mar;
156;2020;2.0;mar;818.32
157;2020;3.0;mar;817.45
158;2020;4.0;mar;809.81
159;2020;5.0;mar;812.19
160;2020;6.0;mar;823.28
161;2020;7.0;mar;
162;2020;8.0;mar;
163;2020;9.0;mar;828.95
164;2020;10.0;mar;841.06
165;2020;11.0;mar;834.22
166;2020;12.0;mar;835.48
167;2020;13.0;mar;852.06
168;2020;14.0;mar;
169;2020;15.0;mar;
170;2020;16.0;mar;836.66
171;2020;17.0;mar;850.51
172;2020;18.0;mar;855.09
173;2020;19.0;mar;862.69
174;2020;20.0;mar;867.83
175;2020;21.0;mar;
176;2020;22.0;mar;
177;2020;23.0;mar;851.01
178;2020;24.0;mar;861.07
179;2020;25.0;mar;847.04
180;2020;26.0;mar;843.96
181;2020;27.0;mar;836.05
182;2020;28.0;mar;
183;2020;29.0;mar;
184;2020;30.0;mar;835.23
185;2020;31.0;mar;846.3
186;2019;1.0;abr;678.53
187;2019;2.0;abr;672.56
188;2019;3.0;abr;670.05
189;2019;4.0;abr;667.55
190;2019;5.0;abr;666.32
191;2019;6.0;abr;
192;2019;7.0;abr;
193;2019;8.0;abr;664.17
194;2019;9.0;abr;663.01
195;2019;10.0;abr;663.15
196;2019;11.0;abr;662.92
197;2019;12.0;abr;664.19
198;2019;13.0;abr;
199;2019;14.0;abr;
200;2019;15.0;abr;660.67
201;2019;16.0;abr;662.86
202;2019;17.0;abr;663.98
203;2019;18.0;abr;660.48
204;2019;19.0;abr;
205;2019;20.0;abr;
206;2019;21.0;abr;
207;2019;22.0;abr;662.27
208;2019;23.0;abr;663.91
209;2019;24.0;abr;668.19
210;2019;25.0;abr;672.83
211;2019;26.0;abr;676.21
212;2019;27.0;abr;
213;2019;28.0;abr;
214;2019;29.0;abr;673.86
215;2019;30.0;abr;677.67
216;2019;31.0;abr;
217;2020;1.0;abr;852.03
218;2020;2.0;abr;863.81
219;2020;3.0;abr;861.89
220;2020;4.0;abr;
221;2020;5.0;abr;
222;2020;6.0;abr;863.99
223;2020;7.0;abr;853.91
224;2020;8.0;abr;842.05
225;2020;9.0;abr;851.9
226;2020;10.0;abr;
227;2020;11.0;abr;
228;2020;12.0;abr;
229;2020;13.0;abr;839.49
230;2020;14.0;abr;844.57
231;2020;15.0;abr;848.63
232;2020;16.0;abr;859.31
233;2020;17.0;abr;852.52
234;2020;18.0;abr;
235;2020;19.0;abr;
236;2020;20.0;abr;849.45
237;2020;21.0;abr;856.23
238;2020;22.0;abr;862.06
239;2020;23.0;abr;856.51
240;2020;24.0;abr;858.87
241;2020;25.0;abr;
242;2020;26.0;abr;
243;2020;27.0;abr;859.95
244;2020;28.0;abr;856.76
245;2020;29.0;abr;850.41
246;2020;30.0;abr;836.62
247;2020;31.0;abr;
248;2019;1.0;may;
249;2019;2.0;may;678.71
250;2019;3.0;may;683.31
251;2019;4.0;may;
252;2019;5.0;may;
253;2019;6.0;may;678.68
254;2019;7.0;may;681.09
255;2019;8.0;may;683.49
256;2019;9.0;may;684.51
257;2019;10.0;may;686.43
258;2019;11.0;may;
259;2019;12.0;may;
260;2019;13.0;may;685.67
261;2019;14.0;may;693.04
262;2019;15.0;may;692.33
263;2019;16.0;may;692.62
264;2019;17.0;may;692.79
265;2019;18.0;may;
266;2019;19.0;may;
267;2019;20.0;may;696.61
268;2019;21.0;may;
269;2019;22.0;may;697.23
270;2019;23.0;may;696.7
271;2019;24.0;may;698.03
272;2019;25.0;may;
273;2019;26.0;may;
274;2019;27.0;may;694.84
275;2019;28.0;may;696.46
276;2019;29.0;may;703.48
277;2019;30.0;may;708.2
278;2019;31.0;may;707.86
279;2020;1.0;may;
280;2020;2.0;may;
281;2020;3.0;may;
282;2020;4.0;may;837.92
283;2020;5.0;may;838.74
284;2020;6.0;may;832.84
285;2020;7.0;may;839.08
286;2020;8.0;may;836.27
287;2020;9.0;may;
288;2020;10.0;may;
289;2020;11.0;may;827.65
290;2020;12.0;may;826.05
291;2020;13.0;may;821.88
292;2020;14.0;may;820.38
293;2020;15.0;may;822.93
294;2020;16.0;may;
295;2020;17.0;may;
296;2020;18.0;may;823.86
297;2020;19.0;may;820.65
298;2020;20.0;may;819.08
299;2020;21.0;may;
300;2020;22.0;may;806.17
301;2020;23.0;may;
302;2020;24.0;may;
303;2020;25.0;may;805.75
304;2020;26.0;may;803.74
305;2020;27.0;may;802.1
306;2020;28.0;may;816.47
307;2020;29.0;may;812.74
308;2020;30.0;may;
309;2020;31.0;may;
310;2019;1.0;jun;
311;2019;2.0;jun;
312;2019;3.0;jun;709.8
313;2019;4.0;jun;704.59
314;2019;5.0;jun;696.78
315;2019;6.0;jun;693.25
316;2019;7.0;jun;692.21
317;2019;8.0;jun;
318;2019;9.0;jun;
319;2019;10.0;jun;692.28
320;2019;11.0;jun;697.34
321;2019;12.0;jun;693.6
322;2019;13.0;jun;694.89
323;2019;14.0;jun;696.25
324;2019;15.0;jun;
325;2019;16.0;jun;
326;2019;17.0;jun;698.72
327;2019;18.0;jun;699.52
328;2019;19.0;jun;696.81
329;2019;20.0;jun;693.99
330;2019;21.0;jun;684.19
331;2019;22.0;jun;
332;2019;23.0;jun;
333;2019;24.0;jun;683.41
334;2019;25.0;jun;682.31
335;2019;26.0;jun;678.32
336;2019;27.0;jun;680.06
337;2019;28.0;jun;679.86
338;2019;29.0;jun;
339;2019;30.0;jun;
340;2019;31.0;jun;
341;2020;1.0;jun;806.32
342;2020;2.0;jun;796.46
343;2020;3.0;jun;782.86
344;2020;4.0;jun;769.13
345;2020;5.0;jun;775.58
346;2020;6.0;jun;
347;2020;7.0;jun;
348;2020;8.0;jun;764.97
349;2020;9.0;jun;769.26
350;2020;10.0;jun;771.96
351;2020;11.0;jun;767.93
352;2020;12.0;jun;784.65
353;2020;13.0;jun;
354;2020;14.0;jun;
355;2020;15.0;jun;790.73
356;2020;16.0;jun;796.87
357;2020;17.0;jun;779.1
358;2020;18.0;jun;798.53
359;2020;19.0;jun;812.19
360;2020;20.0;jun;
361;2020;21.0;jun;
362;2020;22.0;jun;817.33
363;2020;23.0;jun;816.02
364;2020;24.0;jun;817.9
365;2020;25.0;jun;820.68
366;2020;26.0;jun;813.25
367;2020;27.0;jun;
368;2020;28.0;jun;
369;2020;29.0;jun;
370;2020;30.0;jun;816.36
371;2020;31.0;jun;
372;2019;1.0;jul;679.15
373;2019;2.0;jul;677.62
374;2019;3.0;jul;681.3
375;2019;4.0;jul;680.48
376;2019;5.0;jul;677.64
377;2019;6.0;jul;
378;2019;7.0;jul;
379;2019;8.0;jul;683.12
380;2019;9.0;jul;685.83
381;2019;10.0;jul;688.88
382;2019;11.0;jul;685.4
383;2019;12.0;jul;683.38
384;2019;13.0;jul;
385;2019;14.0;jul;
386;2019;15.0;jul;681.07
387;2019;16.0;jul;
388;2019;17.0;jul;679.48
389;2019;18.0;jul;681.69
390;2019;19.0;jul;683.27
391;2019;20.0;jul;
392;2019;21.0;jul;
393;2019;22.0;jul;685.81
394;2019;23.0;jul;688.28
395;2019;24.0;jul;691.57
396;2019;25.0;jul;691.36
397;2019;26.0;jul;694.16
398;2019;27.0;jul;
399;2019;28.0;jul;
400;2019;29.0;jul;696.62
401;2019;30.0;jul;697.22
402;2019;31.0;jul;699.98
403;2020;1.0;jul;821.23
404;2020;2.0;jul;816.29
405;2020;3.0;jul;803.98
406;2020;4.0;jul;
407;2020;5.0;jul;
408;2020;6.0;jul;801.46
409;2020;7.0;jul;798.79
410;2020;8.0;jul;793.88
411;2020;9.0;jul;786.18
412;2020;10.0;jul;781.74
413;2020;11.0;jul;
414;2020;12.0;jul;
415;2020;13.0;jul;790.82
416;2020;14.0;jul;788.22
417;2020;15.0;jul;787.87
418;2020;16.0;jul;
419;2020;17.0;jul;787.5
420;2020;18.0;jul;
421;2020;19.0;jul;
422;2020;20.0;jul;787.26
423;2020;21.0;jul;786.04
424;2020;22.0;jul;777.66
425;2020;23.0;jul;769.06
426;2020;24.0;jul;767.17
427;2020;25.0;jul;
428;2020;26.0;jul;
429;2020;27.0;jul;768.63
430;2020;28.0;jul;768.81
431;2020;29.0;jul;767.82
432;2020;30.0;jul;759.18
433;2020;31.0;jul;754.45
434;2019;1.0;ago;700.82
435;2019;2.0;ago;704.88
436;2019;3.0;ago;
437;2019;4.0;ago;
438;2019;5.0;ago;711.13
439;2019;6.0;ago;721.7
440;2019;7.0;ago;716.35
441;2019;8.0;ago;718.55
442;2019;9.0;ago;710.98
443;2019;10.0;ago;
444;2019;11.0;ago;
445;2019;12.0;ago;712.04
446;2019;13.0;ago;716.69
447;2019;14.0;ago;708.37
448;2019;15.0;ago;
449;2019;16.0;ago;710.14
450;2019;17.0;ago;
451;2019;18.0;ago;
452;2019;19.0;ago;709.26
453;2019;20.0;ago;711.94
454;2019;21.0;ago;710.63
455;2019;22.0;ago;709.52
456;2019;23.0;ago;713.22
457;2019;24.0;ago;
458;2019;25.0;ago;
459;2019;26.0;ago;716.4
460;2019;27.0;ago;718.75
461;2019;28.0;ago;721.55
462;2019;29.0;ago;724.2
463;2019;30.0;ago;720.65
464;2019;31.0;ago;
465;2020;1.0;ago;
466;2020;2.0;ago;
467;2020;3.0;ago;757.06
468;2020;4.0;ago;761.34
469;2020;5.0;ago;767.98
470;2020;6.0;ago;774.82
471;2020;7.0;ago;777.18
472;2020;8.0;ago;
473;2020;9.0;ago;
474;2020;10.0;ago;784.28
475;2020;11.0;ago;796.58
476;2020;12.0;ago;793.61
477;2020;13.0;ago;792.69
478;2020;14.0;ago;793.32
479;2020;15.0;ago;
480;2020;16.0;ago;
481;2020;17.0;ago;796.73
482;2020;18.0;ago;803.4
483;2020;19.0;ago;796.23
484;2020;20.0;ago;784.25
485;2020;21.0;ago;785.84
486;2020;22.0;ago;
487;2020;23.0;ago;
488;2020;24.0;ago;790.88
489;2020;25.0;ago;786.17
490;2020;26.0;ago;784.44
491;2020;27.0;ago;786.91
492;2020;28.0;ago;784.27
493;2020;29.0;ago;
494;2020;30.0;ago;
495;2020;31.0;ago;779.92
496;2019;1.0;sep;
497;2019;2.0;sep;720.2
498;2019;3.0;sep;724.72
499;2019;4.0;sep;725.69
500;2019;5.0;sep;723.3
501;2019;6.0;sep;717.52
502;2019;7.0;sep;
503;2019;8.0;sep;
504;2019;9.0;sep;711.22
505;2019;10.0;sep;713.72
506;2019;11.0;sep;714.77
507;2019;12.0;sep;714.39
508;2019;13.0;sep;711.29
509;2019;14.0;sep;
510;2019;15.0;sep;
511;2019;16.0;sep;707.07
512;2019;17.0;sep;709.81
513;2019;18.0;sep;
514;2019;19.0;sep;
515;2019;20.0;sep;
516;2019;21.0;sep;
517;2019;22.0;sep;
518;2019;23.0;sep;715.24
519;2019;24.0;sep;722.17
520;2019;25.0;sep;721.92
521;2019;26.0;sep;727.08
522;2019;27.0;sep;726.17
523;2019;28.0;sep;
524;2019;29.0;sep;
525;2019;30.0;sep;725.68
526;2019;31.0;sep;
527;2020;1.0;sep;776.46
528;2020;2.0;sep;770.59
529;2020;3.0;sep;771.45
530;2020;4.0;sep;773.71
531;2020;5.0;sep;
532;2020;6.0;sep;
533;2020;7.0;sep;773.76
534;2020;8.0;sep;773.24
535;2020;9.0;sep;776.65
536;2020;10.0;sep;767.87
537;2020;11.0;sep;764.99
538;2020;12.0;sep;
539;2020;13.0;sep;
540;2020;14.0;sep;768.34
541;2020;15.0;sep;767.01
542;2020;16.0;sep;760.01
543;2020;17.0;sep;761.54
544;2020;18.0;sep;
545;2020;19.0;sep;
546;2020;20.0;sep;
547;2020;21.0;sep;764.34
548;2020;22.0;sep;772.83
549;2020;23.0;sep;773.4
550;2020;24.0;sep;781.44
551;2020;25.0;sep;788.02
552;2020;26.0;sep;
553;2020;27.0;sep;
554;2020;28.0;sep;787.15
555;2020;29.0;sep;784.19
556;2020;30.0;sep;784.46
557;2020;31.0;sep;
558;2019;1.0;oct;728.21
559;2019;2.0;oct;729.38
560;2019;3.0;oct;727.8
561;2019;4.0;oct;719.53
562;2019;5.0;oct;
563;2019;6.0;oct;
564;2019;7.0;oct;715.53
565;2019;8.0;oct;717.05
566;2019;9.0;oct;722.28
567;2019;10.0;oct;724.27
568;2019;11.0;oct;720.61
569;2019;12.0;oct;
570;2019;13.0;oct;
571;2019;14.0;oct;712.98
572;2019;15.0;oct;712.04
573;2019;16.0;oct;715.48
574;2019;17.0;oct;718.69
575;2019;18.0;oct;713.23
576;2019;19.0;oct;
577;2019;20.0;oct;
578;2019;21.0;oct;709.71
579;2019;22.0;oct;723.52
580;2019;23.0;oct;726.24
581;2019;24.0;oct;726.15
582;2019;25.0;oct;723.43
583;2019;26.0;oct;
584;2019;27.0;oct;
585;2019;28.0;oct;725.87
586;2019;29.0;oct;724.37
587;2019;30.0;oct;726.34
588;2019;31.0;oct;
589;2020;1.0;oct;788.15
590;2020;2.0;oct;785.04
591;2020;3.0;oct;
592;2020;4.0;oct;
593;2020;5.0;oct;790.81
594;2020;6.0;oct;794.34
595;2020;7.0;oct;797.35
596;2020;8.0;oct;795.05
597;2020;9.0;oct;797.25
598;2020;10.0;oct;
599;2020;11.0;oct;
600;2020;12.0;oct;
601;2020;13.0;oct;796.05
602;2020;14.0;oct;797.66
603;2020;15.0;oct;798.56
604;2020;16.0;oct;801.91
605;2020;17.0;oct;
606;2020;18.0;oct;
607;2020;19.0;oct;795.68
608;2020;20.0;oct;788.27
609;2020;21.0;oct;786.66
610;2020;22.0;oct;784.07
611;2020;23.0;oct;781.41
612;2020;24.0;oct;
613;2020;25.0;oct;
614;2020;26.0;oct;777.72
615;2020;27.0;oct;779.57
616;2020;28.0;oct;772.05
617;2020;29.0;oct;775.56
618;2020;30.0;oct;770.45
619;2020;31.0;oct;
620;2019;1.0;nov;
621;2019;2.0;nov;
622;2019;3.0;nov;
623;2019;4.0;nov;735.05
624;2019;5.0;nov;736.66
625;2019;6.0;nov;745.85
626;2019;7.0;nov;743.65
627;2019;8.0;nov;740.23
628;2019;9.0;nov;
629;2019;10.0;nov;
630;2019;11.0;nov;746.23
631;2019;12.0;nov;756.08
632;2019;13.0;nov;783.72
633;2019;14.0;nov;794.51
634;2019;15.0;nov;801.83
635;2019;16.0;nov;
636;2019;17.0;nov;
637;2019;18.0;nov;782.82
638;2019;19.0;nov;773.81
639;2019;20.0;nov;782.71
640;2019;21.0;nov;797.17
641;2019;22.0;nov;795.14
642;2019;23.0;nov;
643;2019;24.0;nov;
644;2019;25.0;nov;795.94
645;2019;26.0;nov;791.16
646;2019;27.0;nov;793.49
647;2019;28.0;nov;806.3
648;2019;29.0;nov;828.25
649;2019;30.0;nov;
650;2019;31.0;nov;
651;2020;1.0;nov;
652;2020;2.0;nov;771.92
653;2020;3.0;nov;769.17
654;2020;4.0;nov;758.53
655;2020;5.0;nov;757.16
656;2020;6.0;nov;752.01
657;2020;7.0;nov;
658;2020;8.0;nov;
659;2020;9.0;nov;759.25
660;2020;10.0;nov;753.75
661;2020;11.0;nov;760.9
662;2020;12.0;nov;757.42
663;2020;13.0;nov;757.43
664;2020;14.0;nov;
665;2020;15.0;nov;
666;2020;16.0;nov;766.7
667;2020;17.0;nov;767.86
668;2020;18.0;nov;767.05
669;2020;19.0;nov;758.1
670;2020;20.0;nov;758.62
671;2020;21.0;nov;
672;2020;22.0;nov;
673;2020;23.0;nov;761.55
674;2020;24.0;nov;765.96
675;2020;25.0;nov;772.83
676;2020;26.0;nov;771.68
677;2020;27.0;nov;766.0
678;2020;28.0;nov;
679;2020;29.0;nov;
680;2020;30.0;nov;766.69
681;2020;31.0;nov;
682;2019;1.0;dic;
683;2019;2.0;dic;812.13
684;2019;3.0;dic;804.29
685;2019;4.0;dic;802.44
686;2019;5.0;dic;796.75
687;2019;6.0;dic;784.25
688;2019;7.0;dic;
689;2019;8.0;dic;
690;2019;9.0;dic;779.04
691;2019;10.0;dic;771.29
692;2019;11.0;dic;778.14
693;2019;12.0;dic;772.93
694;2019;13.0;dic;768.69
695;2019;14.0;dic;
696;2019;15.0;dic;
697;2019;16.0;dic;766.76
698;2019;17.0;dic;762.83
699;2019;18.0;dic;756.95
700;2019;19.0;dic;752.3
701;2019;20.0;dic;752.6
702;2019;21.0;dic;
703;2019;22.0;dic;
704;2019;23.0;dic;749.83
705;2019;24.0;dic;754.27
706;2019;25.0;dic;
707;2019;26.0;dic;751.04
708;2019;27.0;dic;746.66
709;2019;28.0;dic;
710;2019;29.0;dic;
711;2019;30.0;dic;744.62
712;2019;31.0;dic;
713;2020;1.0;dic;767.29
714;2020;2.0;dic;760.16
715;2020;3.0;dic;755.34
716;2020;4.0;dic;752.03
717;2020;5.0;dic;
718;2020;6.0;dic;
719;2020;7.0;dic;747.61
720;2020;8.0;dic;
721;2020;9.0;dic;744.82
722;2020;10.0;dic;739.45
723;2020;11.0;dic;738.17
724;2020;12.0;dic;
725;2020;13.0;dic;
726;2020;14.0;dic;733.55
727;2020;15.0;dic;731.58
728;2020;16.0;dic;734.23
729;2020;17.0;dic;735.09
730;2020;18.0;dic;723.44
731;2020;19.0;dic;
732;2020;20.0;dic;
733;2020;21.0;dic;723.85
734;2020;22.0;dic;730.7
735;2020;23.0;dic;728.96
736;2020;24.0;dic;716.25
737;2020;25.0;dic;
738;2020;26.0;dic;
739;2020;27.0;dic;
740;2020;28.0;dic;710.26
741;2020;29.0;dic;710.64
742;2020;30.0;dic;711.24
743;2020;31.0;dic;
